to,from,weight
10002,10668,151
10002,10690,3
10002,11160,8
10002,11294,110
10002,11297,9
10002,11642,8
10002,11649,3
10002,11716,3
10002,12032,2
10002,12669,9
10002,12820,1
10002,13302,23
10002,13320,2
10002,13381,2
10002,13405,7
10002,14237,6
10002,14255,4
10002,14609,3
10002,17249,3
10002,17392,1
10002,17473,2
10002,23016,1
10002,34570,1
10002,41234,1
10003,10001,63
10003,10002,63
10003,10003,15
10003,10006,5
10003,10014,6
10003,10015,204
10003,10017,4
10003,10018,6
10003,10028,24
10003,10031,23
10003,10037,41
10003,10039,4
10003,10040,40
10003,10052,3
10003,10056,5
10003,10063,33
10003,10064,3
10003,10066,16
10003,10079,1
10003,10081,1
10003,10082,1
10003,10084,3
10003,10094,7
10003,10110,1
10003,10111,1
10003,10120,19
10003,10122,7
10003,10123,14
10003,10135,11
10003,10147,6
10003,10149,12
10003,10150,1
10003,10152,5
10003,10154,11
10003,10163,103
10003,10169,260
10003,10171,2
10003,10172,7
10003,10175,27
10003,10177,33
10003,10178,4
10003,10181,1
10003,10187,8
10003,10210,5
10003,10239,23
10003,10246,11
10003,10248,3
10003,10264,2
10003,10269,12
10003,10275,136
10003,10277,162
10003,10278,7
10003,10292,1
10003,10320,4
10003,10333,1
10003,10338,28
10003,10360,2
10003,10381,67
10003,10388,11
10003,10389,44
10003,10391,29
10003,10399,15
10003,10412,7
10003,10414,20
10003,10418,9
10003,10421,6
10003,10425,18
10003,10426,52
10003,10427,5
10003,10435,28
10003,10445,8
10003,10459,5
10003,10475,26
10003,10480,1
10003,10485,42
10003,10492,2
10003,10493,5
10003,10495,5
10003,10500,33
10003,10509,2
10003,10518,15
10003,10521,1
10003,10524,8
10003,10527,4
10003,10531,26
10003,10544,48
10003,10561,5
10003,10566,1
10003,10569,10
10003,10576,12
10003,10591,3
10003,10595,6
10003,10597,6
10003,10622,22
10003,10666,4
10003,10686,7
10003,10738,9
10003,10741,19
10003,10754,6
10003,10764,11
10003,10849,1
10003,10861,3
10003,10862,3
10003,10867,3
10003,10965,1
10003,10976,5
10003,10980,5
10003,10982,19
10003,10994,1
10003,10999,3
10003,11004,1
10003,11006,10
10003,11018,2
10003,11025,3
10003,11090,7
10003,11092,1
10003,11160,11
10003,11166,3
10003,11172,6
10003,11206,8
10003,11213,3
10003,11233,1
10003,11264,1
10003,11292,3
10003,11294,3
10003,11378,1
10003,11394,2
10003,11421,6
10003,11425,1
10003,11429,5
10003,11566,1
10003,11910,3
10003,11990,8
10003,12082,3
10003,12092,19
10003,12130,3
10003,12194,28
10003,12325,1
10003,12355,3
10003,12399,1
10003,12442,1
10003,12447,14
10003,12652,9
10003,12683,3
10003,12691,6
10003,12702,3
10003,12703,3
10003,12716,1
10003,12719,2
10003,12724,6
10003,12746,30
10003,12756,3
10003,12786,20
10003,12788,12
10003,12815,3
10003,12834,1
10003,12851,11
10003,12852,3
10003,12853,9
10003,12866,26
10003,12908,2
10003,12917,1
10003,12921,3
10003,12924,6
10003,12963,4
10003,12969,10
10003,12974,1
10003,12978,7
10003,12983,15
10003,13067,3
10003,13070,3
10003,13078,4
10003,13106,28
10003,13109,6
10003,13182,9
10003,13215,3
10003,13245,1
10003,13357,1
10003,13381,4
10003,13405,5
10003,13414,1
10003,13418,1
10003,13471,1
10003,13512,1
10003,13513,4
10003,13515,3
10003,13516,3
10003,13537,1
10003,13544,7
10003,13605,1
10003,13653,1
10003,13668,2
10003,13681,1
10003,13693,2
10003,13737,3
10003,13751,20
10003,13767,3
10003,13800,3
10003,14221,1
10003,14237,7
10003,14249,1
10003,14323,4
10003,14327,2
10003,14329,1
10003,14341,3
10003,14413,1
10003,14414,3
10003,14419,8
10003,14426,1
10003,14439,2
10003,14462,6
10003,14554,2
10003,14581,1
10003,14609,1
10003,14625,1
10003,14709,5
10003,15877,2
10003,15882,3
10003,15904,31
10003,15950,3
10003,15986,12
10003,16043,2
10003,16133,1
10003,16275,2
10003,16382,3
10003,16980,1
10003,16994,1
10003,17188,11
10003,17290,12
10003,17747,1
10003,18150,18
10003,19058,1
10003,19668,23
10003,19669,4
10003,19674,3
10003,19686,1
10003,19689,2
10003,19690,2
10003,19708,2
10003,19714,12
10003,19715,4
10003,19725,7
10003,19929,4
10003,20209,1
10003,20259,1
10003,20324,4
10003,20333,6
10003,20378,1
10003,20549,1
10003,21927,1
10003,22532,2
10003,22567,1
10003,22684,6
10003,22768,5
10003,22965,3
10003,23016,32
10003,23498,16
10003,23788,3
10003,23801,2
10003,23820,1
10003,25551,2
10003,26537,3
10003,26826,3
10003,27925,16
10003,27948,1
10003,27951,1
10003,27972,1
10003,27994,13
10003,28009,6
10003,28595,2
10003,28597,7
10003,28608,5
10003,28717,3
10003,28826,1
10003,28938,3
10003,29097,1
10003,29158,1
10003,29290,2
10003,29634,2
10003,29641,1
10003,29719,1
10003,29817,2
10003,30049,2
10003,30056,2
10003,30061,2
10003,30063,12
10003,30075,2
10003,30076,2
10003,30077,2
10003,30080,3
10003,30081,4
10003,30082,1
10003,30083,1
10003,30084,10
10003,30085,1
10003,30086,2
10003,30087,12
10003,30088,2
10003,30089,3
10003,30090,2
10003,30092,2
10003,30093,3
10003,30094,4
10003,30095,1
10003,30096,1
10003,30098,3
10003,30102,7
10003,30104,3
10003,30110,3
10003,30111,4
10003,30112,1
10003,30113,1
10003,30114,8
10003,30115,7
10003,30117,1
10003,30118,3
10003,30119,3
10003,30120,7
10003,30121,1
10003,30124,2
10003,30125,2
10003,30126,2
10003,30127,1
10003,30128,8
10003,30129,1
10003,30131,1
10003,30132,5
10003,30133,1
10003,30134,4
10003,30135,8
10003,30138,1
10003,30142,3
10003,30147,1
10003,30148,1
10003,30149,11
10003,30150,2
10003,30152,6
10003,30153,5
10003,30154,1
10003,30155,1
10003,30157,2
10003,30159,1
10003,30160,1
10003,30162,3
10003,30163,3
10003,30165,1
10003,30167,1
10003,30168,1
10003,30169,3
10003,30174,1
10003,30183,1
10003,30202,2
10003,30203,1
10003,30206,1
10003,30207,1
10003,30208,1
10003,30210,4
10003,30217,1
10003,30223,1
10003,30224,1
10003,30225,1
10003,30226,1
10003,30231,1
10003,30232,1
10003,30239,1
10003,30241,2
10003,30243,2
10003,30244,2
10003,30245,1
10003,30247,1
10003,30248,1
10003,30249,1
10003,30252,1
10003,30253,2
10003,30255,1
10003,30259,1
10003,30260,1
10003,30261,1
10003,30263,1
10003,30267,1
10003,30268,1
10003,30269,1
10003,30270,1
10003,30274,1
10003,30278,1
10003,30279,1
10003,30291,1
10003,30293,1
10003,30322,1
10003,44631,6
10003,44647,3
10004,10002,3
10004,10063,3
10004,10391,3
10004,11421,2
10005,10002,8
10005,10036,12
10005,10040,19
10005,10049,12
10005,10087,20
10005,10110,9
10005,10198,7
10005,10391,4
10005,10956,3
10005,11601,2
10005,12005,3
10005,12691,2
10005,12697,3
10005,12698,3
10005,12724,7
10005,13184,4
10005,13314,3
10005,14254,6
10005,20163,3
10005,20174,3
10005,20606,6
10005,20624,3
10005,20736,3
10005,20860,3
10005,21818,3
10006,10002,6
10006,10006,5
10006,10015,12
10006,10094,3
10006,10150,1
10006,10163,132
10006,10187,33
10006,10275,18
10006,10277,3
10006,10278,17
10006,10389,11
10006,10418,1
10006,10427,3
10006,10435,6
10006,10500,3
10006,10517,4
10006,10531,7
10006,10790,1
10006,11006,4
10006,11051,3
10006,11092,9
10006,11210,1
10006,11245,10
10006,11417,2
10006,11421,2
10006,11429,1
10006,11453,2
10006,11515,3
10006,11540,3
10006,11542,6
10006,11544,6
10006,11990,13
10006,12576,1
10006,12691,2
10006,12724,1
10006,12784,2
10006,12786,1
10006,12818,1
10006,12828,1
10006,12892,4
10006,12897,6
10006,12914,5
10006,12936,1
10006,12983,2
10006,13064,1
10006,13090,2
10006,13111,4
10006,13193,11
10006,13303,1
10006,13377,4
10006,13414,4
10006,13417,5
10006,13420,2
10006,13422,1
10006,13473,1
10006,13479,2
10006,13518,1
10006,13544,1
10006,13547,1
10006,13553,1
10006,13554,4
10006,13565,2
10006,13602,1
10006,13620,1
10006,13647,1
10006,13649,1
10006,13677,1
10006,14100,1
10006,14449,1
10006,14609,14
10006,14625,1
10006,15895,1
10006,16044,1
10006,16134,1
10006,16382,3
10006,17290,1
10006,20551,4
10006,20646,1
10006,20847,1
10006,23163,2
10006,28938,1
10006,30127,1
10007,10002,4
10008,10002,4
10008,10120,2
10008,11497,2
10008,12145,135
10008,13723,10
10008,14031,1
10008,14081,1
10008,14099,5
10008,14158,1
10008,14754,12
10008,14766,1
10008,14780,3
10008,14793,1
10008,14868,3
10008,14941,3
10008,15062,4
10008,15068,1
10008,15069,2
10008,15088,2
10008,15115,3
10008,16599,3
10008,24448,6
10008,25473,5
10008,25503,1
10008,25626,4
10008,25912,1
10008,25918,1
10009,10002,3
10010,10002,3
10010,10040,7
10010,10278,3
10011,10002,4
10011,29915,3
10012,10002,3
10013,10002,153
10014,10002,201
10014,10017,25
10014,10021,3
10014,10036,10
10014,10040,64
10014,10052,3
10014,10060,4
10014,10064,1
10014,10097,3
10014,10101,4
10014,10122,2
10014,10123,2
10014,10135,3
10014,10150,4
10014,10177,4
10014,10185,7
10014,10206,1
10014,10246,14
10014,10282,2
10014,10286,1
10014,10292,3
10014,10297,1
10014,10359,5
10014,10362,1
10014,10363,5
10014,10367,5
10014,10379,4
10014,10460,1
10014,10461,1
10014,10480,2
10014,10484,3
10014,10939,1
10014,11206,1
10014,11290,1
10014,11310,2
10014,12092,32
10014,13764,1
10014,13800,2
10014,15244,1
10014,19715,1
10014,19727,1
10014,20212,3
10014,20435,1
10014,20503,3
10014,22768,2
10014,23241,2
10014,25231,1
10014,25238,1
10014,25250,1
10014,25256,1
10014,25259,2
10014,25266,1
10014,25267,5
10014,25278,3
10014,25288,2
10014,25291,1
10014,25293,2
10014,25294,1
10014,25296,1
10014,25297,1
10014,25300,1
10014,34895,1
10015,10002,8
10015,10003,149
10015,10015,7
10015,10023,1
10015,10028,11
10015,10031,53
10015,10066,4
10015,10135,4
10015,10149,6
10015,10150,44
10015,10163,106
10015,10169,40
10015,10175,24
10015,10215,6
10015,10239,12
10015,10248,3
10015,10269,1
10015,10275,1
10015,10278,7
10015,10310,2
10015,10381,5
10015,10389,9
10015,10391,7
10015,10408,3
10015,10475,14
10015,10493,4
10015,10500,29
10015,10531,12
10015,10544,16
10015,10561,4
10015,10594,4
10015,10597,3
10015,10622,3
10015,10741,3
10015,10754,6
10015,10862,1
10015,10980,2
10015,10982,6
10015,10983,2
10015,11056,15
10015,11090,6
10015,11092,3
10015,11150,32
10015,11236,1
10015,11294,3
10015,11339,8
10015,11421,18
10015,11566,2
10015,11782,16
10015,12015,2
10015,12130,2
10015,12194,31
10015,12198,5
10015,12447,6
10015,12512,7
10015,12669,1
10015,12691,5
10015,12695,1
10015,12702,4
10015,12707,7
10015,12718,3
10015,12743,4
10015,12746,9
10015,12786,26
10015,12788,9
10015,12820,13
10015,12851,5
10015,12866,37
10015,12873,4
10015,12917,1
10015,12963,1
10015,12983,29
10015,13058,3
10015,13078,3
10015,13099,5
10015,13153,1
10015,13192,2
10015,13205,1
10015,13316,3
10015,13357,1
10015,13381,9
10015,13385,4
10015,13405,23
10015,13414,16
10015,13515,1
10015,13544,1
10015,13601,9
10015,13653,9
10015,14055,2
10015,14203,1
10015,14323,3
10015,14327,13
10015,14328,10
10015,14334,7
10015,14348,5
10015,14413,11
10015,14439,1
10015,14449,3
10015,14690,1
10015,15877,6
10015,15890,7
10015,15904,6
10015,15909,16
10015,15950,3
10015,16278,29
10015,17287,2
10015,17689,3
10015,19689,2
10015,19725,3
10015,19742,1
10015,19744,1
10015,19826,1
10015,19847,15
10015,19942,16
10015,22302,15
10015,22422,3
10015,23566,2
10015,23801,2
10015,23923,1
10015,25560,2
10015,30115,2
10015,30117,1
10015,30158,3
10015,30204,1
10015,30258,1
10015,32319,1
10015,37621,2
10015,37785,3
10015,37894,45
10015,37928,18
10015,42527,2
10016,10002,14
10016,10063,3
10016,10171,2
10016,10391,9
10016,10426,2
10017,10002,141
10017,10005,10
10017,10036,13
10017,10040,112
10017,10049,6
10017,10060,19
10017,10063,4
10017,10082,2
10017,10087,9
10017,10122,2
10017,10135,3
10017,10187,4
10017,10246,14
10017,10277,219
10017,10292,3
10017,10326,3
10017,10359,9
10017,10360,17
10017,10391,8
10017,10399,6
10017,10484,1
10017,10524,4
10017,10525,4
10017,10570,6
10017,10594,3
10017,10887,1
10017,10976,3
10017,11012,1
10017,11015,1
10017,11629,3
10017,11647,3
10017,12032,2
10017,12092,1
10017,12746,4
10017,13717,1
10017,20051,2
10017,22085,2
10017,22107,2
10017,26130,2
10017,27871,1
10017,27976,1
10017,29855,1
10017,34570,1
10017,37045,1
10018,10001,13
10018,10002,16
10018,10014,1
10018,10040,1
10018,10044,10
10018,10049,11
10018,10050,6
10018,10060,1
10018,10063,10
10018,10082,3
10018,10169,2
10018,10246,3
10018,11244,1
10018,11292,4
10018,11294,9
10018,11310,1
10018,11341,1
10018,11379,20
10018,11402,2
10018,12092,3
10018,12266,1
10018,12672,1
10018,16182,1
10018,16775,2
10018,16808,2
10018,16818,4
10018,19621,4
10018,21728,1
10018,26830,3
10018,36846,1
10019,10002,112
10019,10060,6
10019,10185,6
10019,10246,5
10019,10291,6
10019,10293,5
10019,10401,2
10019,22700,20
10020,10002,14
10021,10002,21
10021,10040,3
10021,10063,3
10021,10066,9
10021,10594,21
10022,10002,4
10022,10040,4
10022,10185,3
10023,10002,4
10023,10003,4
10023,10031,5
10023,10039,2
10023,10040,4
10023,10050,2
10023,10052,3
10023,10063,7
10023,10068,2
10023,10078,32
10023,10130,38
10023,10149,19
10023,10150,2
10023,10277,4
10023,10391,6
10023,10427,4
10023,10432,2
10023,10459,6
10023,10480,2
10023,10490,18
10023,10509,6
10023,10516,2
10023,10690,2
10023,10888,4
10023,10939,2
10023,10979,8
10023,10991,6
10023,11012,1
10023,11316,4
10023,11411,7
10023,11421,44
10023,11427,2
10023,11431,3
10023,11440,318
10023,11442,8
10023,11453,725
10023,11476,2
10023,11515,4
10023,11516,16
10023,11553,3
10023,11566,32
10023,11601,28
10023,12197,1
10023,12198,1
10023,12199,3
10023,12744,6
10023,12884,2
10023,12921,3
10023,12952,2
10023,12983,71
10023,13000,2
10023,13058,18
10023,13099,13
10023,13382,2
10023,13385,10
10023,13405,1
10023,13470,8
10023,13564,2
10023,14231,7
10023,14234,12
10023,14242,10
10023,14328,4
10023,14594,2
10023,15877,15
10023,15888,2
10023,15988,2
10023,16044,7
10023,16106,2
10023,16134,12
10023,16175,5
10023,17242,2
10023,17473,2
10023,18103,26
10023,18150,23
10023,18158,22
10023,18178,28
10023,19714,15
10023,20006,2
10023,20039,12
10023,20051,78
10023,20059,2
10023,20427,2
10023,20730,4
10023,20884,4
10023,23441,2
10023,23445,11
10023,23455,2
10023,23460,2
10023,23498,12
10023,23528,3
10023,23566,4
10023,23605,2
10023,23616,4
10023,23617,4
10023,23643,2
10023,24625,3
10023,24685,26
10023,25093,2
10023,25097,4
10023,25132,3
10023,25980,2
10023,25997,1
10023,26033,2
10023,26193,2
10024,10002,8
10024,10289,2
10024,10852,5
10024,11118,3
10024,15500,2
10024,16500,7
10024,16506,4
10024,16590,4
10024,16792,1
10024,24864,1
10024,25223,5
10024,25225,1
10024,25226,3
10024,25235,3
10024,25238,1
10024,25240,1
10024,25242,1
10024,25244,3
10024,25256,7
10024,25260,4
10024,25266,5
10024,25268,2
10024,25272,1
10024,25274,1
10024,25276,1
10024,25279,2
10024,25292,1
10024,25295,2
10024,25298,1
10024,25299,1
10024,25301,1
10024,25305,1
10024,25306,1
10025,10002,29
10026,10002,3
10027,10002,124
10027,10246,22
10028,10002,4
10028,10003,11
10028,10015,112
10028,10031,6
10028,10050,7
10028,10090,2
10028,10111,1
10028,10149,41
10028,10150,98
10028,10171,13
10028,10206,2
10028,10561,4
10028,11150,28
10028,11282,1
10028,11294,25
10028,11297,2
10028,11312,4
10028,11318,4
10028,11319,12
10028,11320,4
10028,11339,4
10028,11378,1
10028,11392,3
10028,11440,11
10028,11444,2
10028,11566,4
10028,12746,4
10028,12983,4
10028,13385,7
10028,13405,13
10028,14341,7
10028,15877,2
10028,15950,9
10028,16788,8
10028,16812,6
10028,17173,2
10028,17534,3
10028,17747,2
10028,18371,1
10028,19621,4
10028,22299,5
10029,10002,11
10030,10002,4
10030,10068,2
10030,10130,2
10030,11453,6
10030,16134,2
10030,43264,3
10031,10001,19
10031,10002,27
10031,10003,6
10031,10015,46
10031,10050,46
10031,10078,41
10031,10099,10
10031,10125,3
10031,10149,206
10031,10150,1034
10031,10172,6
10031,10175,157
10031,10180,37
10031,10198,42
10031,10210,138
10031,10214,19
10031,10215,189
10031,10238,43
10031,10239,134
10031,10246,1
10031,10249,80
10031,10275,1
10031,10359,1
10031,10434,62
10031,10453,1
10031,10485,1
10031,10544,7
10031,10867,1
10031,10983,36
10031,11280,29
10031,11282,6
10031,11294,253
10031,11297,9
10031,11312,14
10031,11313,8
10031,11318,2
10031,11319,58
10031,11320,4
10031,11323,10
10031,11326,11
10031,11338,14
10031,11358,7
10031,11440,3
10031,11566,6
10031,12146,15
10031,12148,40
10031,12224,26
10031,12512,70
10031,12669,11
10031,12743,42
10031,12769,3
10031,12818,3
10031,12873,4
10031,12888,1
10031,13381,58
10031,13385,17
10031,13541,1
10031,13653,97
10031,13658,1
10031,13774,1
10031,13791,10
10031,13824,13
10031,14437,12
10031,14499,2
10031,14591,6
10031,14609,2
10031,14635,6
10031,14658,1
10031,14687,3
10031,15143,2
10031,15218,3
10031,15877,27
10031,16083,2
10031,16150,9
10031,16278,37
10031,16764,4
10031,16788,5
10031,16817,11
10031,17126,28
10031,17141,4
10031,17163,24
10031,17167,154
10031,17173,7
10031,17188,37
10031,17189,6
10031,17198,12
10031,17215,29
10031,17220,2
10031,17229,13
10031,17240,12
10031,17271,6
10031,17283,17
10031,17287,18
10031,17290,14
10031,17291,4
10031,17295,2
10031,17296,12
10031,17312,5
10031,17320,33
10031,17323,20
10031,17324,2
10031,17345,2
10031,17351,6
10031,17352,10
10031,17365,7
10031,17394,2
10031,17436,21
10031,17440,2
10031,17446,14
10031,17473,1
10031,17520,18
10031,17539,5
10031,17623,35
10031,17666,89
10031,17704,5
10031,17720,17
10031,17944,2
10031,17947,6
10031,18108,3
10031,18132,3
10031,18150,3
10031,18170,2
10031,18384,2
10031,18449,9
10031,18494,4
10031,18641,2
10031,18742,2
10031,18838,2
10031,18934,3
10031,25474,1
10031,27328,5
10031,28772,7
10031,29019,1
10031,30101,1
10031,42448,1
10032,10002,73
10033,10002,8
10033,10049,51
10033,10063,10
10033,10135,7
10033,10158,12
10033,10161,2
10033,10206,4
10033,10225,5
10033,10246,1
10033,10359,1
10033,10448,1
10033,10490,2
10033,10802,3
10033,10991,42
10033,18952,1
10033,20051,8
10033,20476,2
10033,20548,1
10033,20549,14
10033,20934,6
10033,21128,1
10033,24889,2
10033,25987,2
10034,10002,16
10034,10005,3
10034,10017,6
10034,10036,4
10034,10049,45
10034,10087,4
10034,10122,3
10034,10326,8
10034,11320,3
10034,23016,7
10035,10002,4
10035,10036,2
10035,10040,5
10035,10060,2
10035,10101,3
10035,10185,9
10035,10292,1
10035,10359,37
10035,10360,4
10036,10002,10
10036,10005,27
10036,10017,5
10036,10035,3
10036,10036,3
10036,10040,74
10036,10049,22
10036,10087,40
10036,10101,2
10036,10107,6
10036,10135,1
10036,10161,2
10036,10170,1
10036,10178,1
10036,10198,11
10036,10206,1
10036,10232,3
10036,10246,1
10036,10250,2
10036,10258,29
10036,10266,3
10036,10281,1
10036,10316,1
10036,10320,2
10036,10359,1
10036,10367,2
10036,10525,4
10036,10856,2
10036,10918,1
10036,11320,3
10036,11601,4
10036,11790,1
10036,12064,1
10036,14241,3
10036,14267,1
10036,14270,1
10036,14306,1
10036,19332,1
10036,20433,2
10036,23134,1
10036,25278,4
10036,25288,1
10036,25293,4
10036,26088,11
10036,29884,3
10036,29890,5
10036,29892,2
10036,29894,3
10036,29902,1
10036,29905,4
10036,29910,3
10036,29958,1
10036,29966,1
10036,29968,2
10036,29969,1
10036,29973,1
10036,29978,1
10036,29979,5
10036,29987,1
10036,29990,1
10036,29998,1
10036,29999,2
10037,10002,11
10037,10003,17
10037,10037,1
10037,10040,4
10037,10049,1
10037,10063,3
10037,10066,3
10037,10084,3
10037,10177,1
10037,10246,1
10037,10267,1
10037,10275,3
10037,10277,46
10037,10333,1
10037,10338,4
10037,10367,3
10037,10388,7
10037,10391,4
10037,10399,1
10037,10418,8
10037,10421,1
10037,10426,13
10037,10442,3
10037,10475,2
10037,10485,6
10037,10491,12
10037,10524,3
10037,10525,4
10037,10543,12
10037,10544,25
10037,10622,21
10037,10741,1
10037,10867,4
10037,10979,5
10037,11101,2
10037,11172,1
10037,11218,1
10037,11233,9
10037,11259,2
10037,11291,8
10037,11405,3
10037,11445,1
10037,11453,2
10037,11627,2
10037,12065,34
10037,12702,2
10037,12703,1
10037,12908,10
10037,12958,1
10037,13374,1
10037,13405,5
10037,14248,3
10037,14270,16
10037,14331,3
10037,14354,3
10037,14436,3
10037,14444,3
10037,14623,3
10037,14642,1
10037,14676,1
10037,15888,4
10037,19439,3
10037,20898,6
10037,21965,1
10037,22700,18
10037,22773,2
10037,22946,3
10037,24546,1
10037,27673,1
10037,27897,3
10037,27948,1
10037,27995,1
10037,28540,1
10037,29772,1
10037,36863,3
10038,10002,4
10039,10002,4
10039,10003,4
10039,10037,2
10039,10039,54
10039,10056,2
10039,10326,20
10039,10391,22
10039,10432,2
10039,10479,3
10039,10493,1
10039,10535,4
10039,11439,1
10039,11584,3
10039,11588,6
10039,11591,9
10039,11616,3
10039,11619,2
10039,11629,11
10039,11641,55
10039,11642,3
10039,11788,3
10039,12746,4
10039,12866,8
10039,12917,3
10039,13184,8
10039,13380,1
10039,13385,2
10039,20617,6
10039,22970,2
10040,10002,173
10040,10003,8
10040,10005,4
10040,10014,3
10040,10017,37
10040,10036,12
10040,10037,5
10040,10040,9
10040,10042,7
10040,10049,55
10040,10056,3
10040,10060,1
10040,10063,4
10040,10064,1
10040,10082,2
10040,10087,20
10040,10101,10
10040,10110,1
10040,10122,8
10040,10123,12
10040,10135,18
10040,10147,1
10040,10154,3
10040,10158,8
10040,10161,4
10040,10166,5
10040,10169,1
10040,10178,7
10040,10185,25
10040,10198,3
10040,10206,2
10040,10213,16
10040,10225,5
10040,10232,6
10040,10238,1
10040,10246,19
10040,10250,7
10040,10258,68
10040,10265,7
10040,10274,3
10040,10275,2
10040,10277,4
10040,10281,4
10040,10285,11
10040,10289,3
10040,10292,30
10040,10293,1
10040,10297,9
10040,10309,11
10040,10310,1
10040,10316,1
10040,10338,10
10040,10339,1
10040,10346,1
10040,10356,1
10040,10357,2
10040,10359,3
10040,10363,5
10040,10367,30
10040,10374,2
10040,10379,3
10040,10388,1
10040,10391,10
10040,10404,1
10040,10415,1
10040,10459,2
10040,10460,1
10040,10475,3
10040,10489,3
10040,10524,3
10040,10525,4
10040,10802,21
10040,10849,8
10040,10852,3
10040,11012,1
10040,11290,3
10040,11291,1
10040,11310,2
10040,11339,2
10040,11402,5
10040,11404,1
10040,11405,13
10040,11450,4
10040,11647,4
10040,11655,2
10040,12092,12
10040,12320,30
10040,12724,6
10040,13644,3
10040,14558,2
10040,15275,9
10040,16073,2
10040,16405,5
10040,17097,1
10040,17109,3
10040,18952,2
10040,19021,3
10040,19332,1
10040,19567,1
10040,20212,3
10040,20513,4
10040,21840,7
10040,22600,14
10040,22768,3
10040,23134,3
10040,23140,1
10040,23160,1
10040,23171,4
10040,23177,36
